id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00023,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,P&D,,Onibus,,390.0,0.0,,50.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,23,1,1
H2V-00024,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,P&D,,Transportes,,0.0,0.0,,12.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,23,1,13
H2V-00025,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,MoU,,Fertilizantes,,500000.0,0.0,,43000.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,21,1,14
H2V-00026,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,Projeto,,NH3,,120000.0,0.0,,1034.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,24,1,15
H2V-00027,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,MoU,,H2V,,500000.0,0.0,,50000.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,21,1,2
H2V-00028,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,H2V,, ,,0.0,0.0,,0.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,25,1,16
H2V-00029,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,MoU/LA - Processo nº 010661-0567/24-7,,Produção de amônia de baixo carbono,,4000.0,0.0,,65.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,26,1,17
H2V-00030,EPE - H2_PROJETOS_202410 - Projetos,Brasil,,,0,MoU/LA,,Produção de amônia de baixo carbono,,2000.0,0.0,,45.0,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_202410/MapServer/0,1,1,1,27,1,17
H2V-00031,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,Projeto Piloto,,Onibus,,0.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,28,1,1
H2V-00032,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,MoU,,H2V,,250000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,21,1,2
