id_empresas,empresa_consorcio
320,Generoso
321,Berneck
322,Governador José Richa (Salto Caxias)
323,Salto Osório
324,Salto Curucaca
325,Baixo Iguaçu
326,Parque I
327,Marumbi
328,Itaipu (Parte Brasileira)
329,Enxadrista
330,Ecoluz
331,Rio das Mortes
332,Dalba
333,Governador Pedro Viriato Parigot de Souza (Capivari/Cachoeira)
334,Pitangui
335,Rickli
336,Cachoeira
337,Padovani
338,Cabeça de Pato
339,Santa Branca (PR)
340,Melissa
341,Tibagi Montante
342,Apiaí
343,Nova Jaguariaíva
344,Velha
345,Puma II
346,Klabin Celulose
347,Serraria
348,Caldeira 6 Kairós
349,Mourão I
350,Salto do Iporanga
351,Alecrim
352,Governador Jayme Canet Júnior - GJC (Antiga Mauá)
353,Porto Raso
354,Fumaça
355,Turvinho
356,Ouro Branco
357,Lavrinha
358,Jurupará
359,França
360,Henry Borden
361,Usina e Fábrica de Papelão Apucaraninha
362,Santa Terezinha
363,Pedreira (Elevatória/Potência de bombeamento 93.500 kW)
364,São João Biogás
365,Itupararanga
366,Destilaria Melhoramentos
367,Salesópolis
368,Barueri
369,Vista Alegre
370,Bandeirantes
371,Tecipar
372,Paraibuna
373,Cdr Pedreira I
374,Rasgão
375,Santa Branca
376,Usaciga
377,Termoverde Caieiras
378,Santa Adélia
379,Bio Coopcana
380,Geo Elétrica Tamboara
381,Boa Vista
382,Jurumirim (Armando Avellanal Laydner)
383,Porto Góes
384,Jaguari
385,Paranapanema
386,Pirajú
387,Chavantes
388,Jacarezinho
389,Ourinhos
390,Rio Pardo
391,Rafard
392,Usina São Luiz
393,Rio Novo
394,Salto do Lobo
395,Canaã
396,Canoas I
397,Canoas II
398,UJU
399,Furlan Avaré
400,Tremembé
401,Salto Grande (Lucas Nogueira Garcez)
402,Arevale
403,Tanquinho
404,Pari
405,Santa Terezinha Paranacity
406,UFL
407,São Gonçalo
408,Destilaria Melhoramentos - Nova Londrina
409,Galvani
410,Macaco Branco
411,Tarumã
412,Usaçúcar - Terra Rica
413,Decasa
414,Água Bonita
415,Central GH Engenheiro Bernardo Figueiredo
416,Isabel
417,USI (Antiga Unidade Santo Inácio - USI)
418,Fontes Nova
419,Pereira Passos
420,Nilo Peçanha
421,Nova Iguaçu
422,Sodré
423,Ribeirão do Pinhal
424,Ester
425,Capivara (Escola de Engenharia Mackenzie)
426,Usi Bio
427,Costa Pinto
428,Vigário (Elevatória/Potência de bombeamento 90.820 kW)
429,Barra Grande 2
430,Barra Grande de Lençóis
431,Caarapó
432,Socorro
433,Rosana
434,Cidade do Livro
435,Iracema
436,Limoeiro
437,Maracaí
438,Cachoeirinha
439,Taquaruçu (Escola Politécnica)
440,Bracell
441,Lwarcel (Antiga Lençóis Paulista)
442,Andorinhas II
443,Funil
444,Cocal II
445,Barra Bonita
446,Santa Cecília (Elevatória/Potência de bombeamento 34.960 kW)
447,Barra Bioenergia
448,Porto Primavera (Eng° Sérgio Motta)
449,Cocal
450,Bioenergia Paraguaçu
451,Laguna
452,Amandina
453,Jacaré Pepira
454,São João
455,Três Saltos
456,Luiz Dias
457,Brotas
458,Brotas II
459,N O Bioenergia
460,Hans
461,Amandina II
462,São Fernando Açúcar e Álcool
463,São Fernando Energia I
464,Monteverde
465,Jacutinga
466,Laranja Doce
467,Alagoa III
468,Rio Bonito Três Vales
469,Quatá
470,LDC Bioenergia Leme (Antiga Coinbra - Cresciumal)
471,Henrique Portugal
472,Angélica
473,Bariri (Álvaro de Souza Lima)
474,Conquista do Pontal
475,Congonhal II
476,Santa Cândida I
477,Santa Cândida II
478,Serra Negra
479,Monjolinho
480,Usina da Serra
481,Floresta
482,Baldin
483,Sobragi
484,São João da Boa Vista
485,Santana do Deserto I
486,Posses
487,Quatiara
488,Boa Vista Capeada
489,Ribeirão
490,Pirambeira
491,Xicão
492,Simplício
493,Guaimbê 5
494,Guaimbê 4
495,Guaimbê 3
496,Guaimbê 2
497,Guaimbê 1
498,São Luiz
499,Picada
500,UFA
501,Eldorado
502,Quilombo
503,Cachoeira do Brumado
504,Clealco Queiroz
505,Ferrari
506,Paciência
