FID,FID_H2_REN,nome_usina,proprietario,RIO,potencia_instalada_kw,ano_inicio_operacao,codigo_ceg_aneel,potencial_h2_t_ano,fonte_energia,FID_LM_Est,NM_REGIAO,CD_GCUF,NM_UF,NM_UF_SIGL,AR_MUN_201,longitude,latitude,fonte_dado,origem
241,56,Burro Branco I,Serra Brasil Usina Elétrica Ltda.,Rio Burro Branco,909.0,1448928000000.0,CGH.PH.SC.035415-5.01,263,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.97861792899995,-26.73944161199996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
242,73,Paraíso,Hidrelétrica Paraíso SPE Ltda.,Rio das Flores,1000.0,1584748800000.0,CGH.PH.SC.035743-0.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-53.65257063699993,-26.72888726899994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
243,3,Aparecida,Companhia Energética Aparecida,Rio Pesqueiro,3060.0,1494460800000.0,CGH.PH.SC.035736-7.01,887,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.89198720499996,-26.70586738799997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
244,1701,Quebra Queixo,Companhia Energética Chapecó,Rio Chapecó,120000.0,1072828800000.0,UHE.PH.SC.002167-9.01,34783,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.54486182199997,-26.65774514599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
245,198,Rio Itaiozinho,Hidrelétrica Sens Ltda.,Rio Itaiozinho,1180.0,1134172800000.0,CGH.PH.SC.029756-9.01,342,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.88180463399996,-26.6548936899999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
246,1527,Palmeiras,Celesc Geração S.A.,Rio dos Cedros,24602.0,-220924800000.0,UHE.PH.SC.001945-3.01,7131,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.33853805999996,-26.64886835599999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
247,1523,Cedros (Rio dos Cedros),Celesc Geração S.A.,Rio dos Cedros,8400.0,-662688000000.0,UHE.PH.SC.000737-4.02,2435,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.35694444499995,-26.64499999899993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
248,18,Heidrich,Central de Geração Hidrelétrica São Roque II SPE Ltda.,Rio Jangada,990.0,1222128000000.0,CGH.PH.SC.028681-8.01,287,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.23564444399992,-26.61929722199992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
249,442,Amparo,Amparo Energia Eólica S.A., ,22500.0,1324684800000.0,EOL.CV.SC.029069-6.01,6522,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.56459471999996,-26.61826629499998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
250,337,Campo Belo,Campo Belo Energia Eólica S.A., ,10500.0,1321315200000.0,EOL.CV.SC.029065-3.01,3043,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.74013754599997,-26.612263867,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
251,649,Horizonte,Central Nacional de Energia Eólica S.A. - CENAEEL, ,4800.0,1313884800000.0,EOL.CV.SC.028674-5.01,1391,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-52.71669999999997,-26.60000000099994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
252,655,Cruz Alta,Cruz Alta Energia Eólica S.A., ,30000.0,1320796800000.0,EOL.CV.SC.029070-0.01,8696,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.72547185599996,-26.599386651,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
253,636,Cascata,Cascata Energia Eólica S.A., ,6000.0,1319673600000.0,EOL.CV.SC.029054-8.01,1739,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.74274450199994,-26.58894030099995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
254,420,Salto,Salto Energia Eólica S.A., ,30000.0,1322784000000.0,EOL.CV.SC.029056-4.01,8696,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.813800261,-26.5885617929999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
255,120,Pacheco,Da Luz Energia Ltda.,Rio Pacheco,1980.0,1285891200000.0,CGH.PH.SC.031005-0.02,574,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.18432540899995,-26.58553250499998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
256,336,Aquibatã,Aquibatã Energia Eólica S.A., ,30000.0,1323734400000.0,EOL.CV.SC.029052-1.01,8696,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.75316958099991,-26.58483083100001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
257,660,Água Doce,CENAEEL - Central Nacional de Energia Eólica S.A., ,9000.0,1157587200000.0,EOL.CV.SC.028793-8.01,2609,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-51.68758706599991,-26.58391938599992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
258,262,São Domingos,São Domingos Geração de Energias Renováveis Ltda.,Rio Chapecó,1000.0,1470009600000.0,CGH.PH.SC.037229-3.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.49611792799993,-26.58051181199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
259,698,de Palmas,Copel Geração e Transmissão S.A, ,2500.0,917827200000.0,EOL.CV.PR.027908-0.01,725,EOL,20,SUL,41,Paraná,PR,199307.939,-51.70037986399996,-26.57812699299991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
260,225,Enercol,Energética Oeste Ltda.,Lajeado São Domingos,2000.0,1521504000000.0,CGH.PH.SC.029229-0.01,580,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.42664281099999,-26.57113063299995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
261,220,Ernesto Lavratti Neto,Hidroelétrica Ernesto Lavratti Netto SPE Ltda.,Rio Chapecó,1000.0,1433116800000.0,CGH.PH.SC.029800-0.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-52.32672492300001,-26.55314445699999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
262,48,Salto do Timbó,Brasenerg - Geradora de Energia Elétrica Ltda.,Rio Timbó,965.0,-2209161600000.0,CGH.PH.SC.028646-0.01,280,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.75613897099995,-26.54542556799993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
263,139,Detofol,Hidrelétrica Detofol Ltda.,Lajeado Grande,510.0,1248134400000.0,CGH.PH.SC.029605-8.01,148,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-53.39911776099992,-26.46563166599994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
264,57,Rio Bonito,Rio Bonito Energia Ltda.,Rio Bonito,1530.0,1355184000000.0,CGH.PH.SC.030132-9.02,443,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.88351387899996,-26.45610298199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
265,125,Wasser Kraft,Wasser Kraft Geração de Energia Elétrica Ltda,Rio Tracutinga,1400.0,1230768000000.0,CGH.PH.SC.029589-2.01,406,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-53.40711078799993,-26.44714262999995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
266,159,Baitaca,Rio Bonito Energia Ltda.,Rio Bonito,2700.0,1355184000000.0,CGH.PH.SC.030153-1.02,783,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.83456977699996,-26.44072901699997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
267,8,Maria Preta,Wasser Kraft Geração de Energia Elétrica Ltda.,Rio Maria Preta,550.0,1262304000000.0,CGH.PH.SC.029988-0.01,159,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-53.58742153199991,-26.42014635299995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
268,85,Santo Antônio,Santo Antonio Geração de Energia Ltda.,Rio da Bruaca,1008.0,1533081600000.0,CGH.PH.SC.040764-0.01,292,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.33509225499996,-26.41970829999994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
269,256,Salto Pintado,Faerber Geração Ltda.,Rio Pintado,999.5,516067200000.0,CGH.PH.SC.002665-4.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.05781620299992,-26.34804515499999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
270,84,Itapocuzinho II,DELMAX - Papelão e Embalagens Ltda.,Rio Itapocuzinho,1650.0,1447286400000.0,CGH.PH.SC.035335-3.01,478,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.13014570499998,-26.34690973399992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
271,60,Itapocuzinho,DELMAX - Papelão e Embalagens Ltda.,Rio Itapocuzinho,480.0,983836800000.0,CGH.PH.SC.028727-0.01,139,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.13068313499995,-26.34379225399991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
272,1608,Bracinho,Celesc Geração S.A.,Rio Bracinho,15000.0,-1230768000000.0,UHE.PH.SC.000302-6.01,4348,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.09536556499995,-26.33001438599999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
273,233,Rio Vermelho,URVE - Usina Rio Vermelho de Energia Ltda.,Rio Vermelho,2400.0,1216080000000.0,CGH.PH.SC.029729-1.02,696,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.32075541899998,-26.31708105699995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
274,142,Rio Vermelho URVE,URVE - Usina Rio Vermelho de Energia Ltda.,Rio Vermelho,440.0,1385856000000.0,CGH.PH.SC.031376-9.01,128,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.31919005799996,-26.30704121699997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
275,115,Piraí,Celesc Geração S.A.,Rio Piraí,1104.0,-1956614400000.0,CGH.PH.SC.002076-1.02,320,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.02267539900002,-26.29929907599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
276,1146,Móveis Paulo,100% para MOVEIS PAULO LTDA (REG), ,558.0,1582502400000.0,UFV.RS.SC.046484-8.01,162,UFV,21,SUL,42,Santa Catarina,SC,95737.954,-49.36766419399998,-26.28204499899989,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
277,184,Salto Claudelino,Massa Falida de Olvepar S.A. Indústria e Comércio,Rio Chopim,2800.0,467942400000.0,CGH.PH.PR.002592-5.02,812,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.29722222199992,-26.280833333,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
278,1506,Energia Madeiras,Energia Madeiras – Industrial e Comercial Ltda., ,4000.0,1228348800000.0,UTE.FL.SC.028140-9.01,1159,BIOMASSA,21,SUL,42,Santa Catarina,SC,95737.954,-50.36919526999998,-26.18917382699995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
279,119,São Lourenço,Celesc Geração S.A.,Rio São Lourenço,420.0,-1893456000000.0,CGH.PH.SC.027186-1.01,122,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.89034939799996,-26.16467912599999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
280,107,São Pedro I,Usina São Pedro Ltda.,Rio Vitorino,138.0,-189388800000.0,CGH.PH.PR.031470-6.01,40,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.82860555599999,-26.07508055599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
281,13,Salto do Vau,Copel Geração e Transmissão S.A.,Rio Palmital,940.0,-347155200000.0,CGH.PH.PR.002642-5.01,272,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.18966673199996,-26.03465169599998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
282,1588,Governador Bento Munhoz da Rocha Neto (Foz do Areia),Copel Geração e Transmissão S.A.,Rio Iguaçu,1676000.0,339206400000.0,UHE.PH.PR.000984-9.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.66597302699991,-26.00977230799997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
283,43,Chopim I,Copel Geração e Transmissão S.A.,Rio Chopim,1980.0,-208224000000.0,CGH.PH.PR.000771-4.02,574,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.74735100399994,-25.98557577099999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
284,1698,Governador Ney Aminthas de Barros Braga (Segredo),Copel Geração e Transmissão S.A.,Rio Iguaçu,1260000.0,717724800000.0,UHE.PH.PR.002715-4.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.11231046200002,-25.79045353699992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
285,118,Barra,Rio Jordão Papeis S.A.,Rio Jordão,4600.0,-347155200000.0,CGH.PH.PR.027174-8.01,1333,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.08688955999997,-25.75759688199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
286,112,Reinhofer,Reinhofer Energia Ltda.,Rio Capão Grande,396.0,1291161600000.0,CGH.PH.PR.030069-1.01,115,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.96111111099999,-25.74499999999998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
287,1516,Guaricana,Copel Geração e Transmissão S.A.,Rio Arraial,36000.0,-410227200000.0,UHE.PH.PR.001075-8.01,10435,HIDRO,20,SUL,41,Paraná,PR,199307.939,-48.97296714399994,-25.71494042099992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
288,1545,Fundão,Centrais Elétricas do Rio Jordão S.A.,Rio Jordão,120168.0,1151020800000.0,UHE.PH.PR.028360-6.01,34831,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.00202223199996,-25.70344813599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
289,32,Salto São Pedro,Santa Maria Companhia Papel e Celulose,Rio Jordão,1188.0,166060800000.0,CGH.PH.PR.026885-2.01,344,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.96583333299999,-25.66277777799998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
290,1500,Curitiba Energia,Curitiba Energia SPE Ltda., ,9982.0,1452470400000.0,UTE.RU.PR.035069-9.01,2893,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-49.34416369199994,-25.66027480299991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
291,1663,Santa Clara,Centrais Elétricas do Rio Jordão S.A.,Rio Jordão,120168.0,1122768000000.0,UHE.PH.PR.028361-4.01,34831,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.95688158699998,-25.645618961,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
292,280,Rio Capivara,Hidrelétrica Capivara Ltda,Rio Capivara,1000.0,1567555200000.0,CGH.PH.PR.045487-7.01,290,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.86138888899993,-25.64027777799994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
293,1644,Salto Santiago,Tractebel Energia S/A,Rio Iguaçu,1420000.0,315532800000.0,UHE.PH.PR.002672-7.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.61452548499996,-25.62876331099998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
294,45,Generoso,Energias Renováveis Mazp Ltda.,Rio Chopim,3000.0,1486512000000.0,CGH.PH.PR.037573-0.01,870,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.08118381699992,-25.61637860899995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
295,1403,Berneck,Berneck S.A. Painéis e Serrados, ,13600.0,1569888000000.0,UTE.FL.PR.029993-6.01,3942,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-49.37207556599994,-25.54332393499997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
296,1711,Governador José Richa (Salto Caxias),Copel Geração e Transmissão S.A.,Rio Iguaçu,1240000.0,919296000000.0,UHE.PH.PR.002591-7.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.49805502899996,-25.54305498299992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
297,1625,Salto Osório,Tractebel Energia S/A,Rio Iguaçu,1078000.0,157766400000.0,UHE.PH.PR.002659-0.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.00896731899993,-25.537568441,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
298,1544,Salto Curucaca,Curucaca Geradora S.A.,Rio Jordão,37042.0,1472860800000.0,UHE.PH.PR.028994-9.01,10737,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.81483457899995,-25.53235661299989,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
299,1573,Baixo Iguaçu,"Geração Céu Azul S.A., Copel Geração e Transmissão S.A",Rio Iguaçu,350200.0,1549584000000.0,UHE.PH.PR.030923-0.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.67166599999999,-25.50332999999994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
300,30,Parque I,Hidrelétrica Vale do Jordão Ltda,Rio Jordão,4740.0,1512345600000.0,CGH.PH.PR.038250-7.01,1374,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.45509125699991,-25.44026111099991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
301,100,Marumbi,Copel Geração e Transmissão S.A.,Rio Ipiranga,4800.0,-273715200000.0,CGH.PH.PR.001501-6.02,1391,HIDRO,20,SUL,41,Paraná,PR,199307.939,-48.921102941,-25.42420027699993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
302,1721,Itaipu (Parte Brasileira),Itaipu Binacional,Paraná,7000000.0,607392000000.0,UHE.PH.PR.001161-4.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-54.58741667699993,-25.4083128199999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
303,286,Enxadrista,Energética Rio das Pedras SPE Ltda.,Rio das Pedras,1000.0,-2209161600000.0,CGH.PH.PR.035731-6.01,290,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.3913785029999,-25.38811087499993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
304,1414,Ecoluz,NGE Ltda., ,12330.0,1226016000000.0,UTE.FL.PR.028246-4.01,3574,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-51.48125803399994,-25.35785918699996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
305,113,Rio das Mortes,LCP Administrações e Participações Ltda.,Rio das Mortes,627.0,1228089600000.0,CGH.PH.PR.030241-4.01,182,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.41945814300001,-25.34895933199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
306,176,Dalba,Dalba Energética Ltda.,Rio do Poço,1000.0,1400716800000.0,CGH.PH.PR.030577-4.01,290,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.87728553499993,-25.28104800699994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
307,1615,Governador Pedro Viriato Parigot de Souza (Capivari/Cachoeira),Copel Geração e Transmissão S.A.,Rio Capivari,260000.0,52704000000.0,UHE.PH.PR.001042-1.01,75362,HIDRO,20,SUL,41,Paraná,PR,199307.939,-48.87447499099997,-25.13850723199992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
308,231,Pitangui,Copel Geração e Transmissão S.A.,Rio Pitangui,865.55,-1861920000000.0,CGH.PH.PR.002085-0.01,251,HIDRO,20,SUL,41,Paraná,PR,199307.939,-50.133312878,-25.03334370299995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
309,1496,Rickli,Madeireira Rickli Ltda., ,5000.0,1435708800000.0,UTE.FL.PR.028503-0.01,1449,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-50.10971927199998,-24.95611467999991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
310,223,Cachoeira,Januário de Nápoli Geração de Energia Ltda.,Rio Cachoeira,2336.0,470188800000.0,CGH.PH.PR.028010-0.02,677,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.42888888899996,-24.93055555599997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
311,2,Padovani,Centrais Elétricas Padovani Ltda.,Rio Central,459.0,1388534400000.0,CGH.PH.PR.031187-1.01,133,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.816651861,-24.91664882999996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
312,86,Cabeça de Pato,Cabeça de Pato Geração de Energia SPE Ltda.,Rio Bonito ou Pedrinho,1600.0,1448928000000.0,CGH.PH.PR.035484-8.01,464,HIDRO,20,SUL,41,Paraná,PR,199307.939,-51.44729919599992,-24.82287110999997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
313,1728,Santa Branca (PR), ,Tibagi,62000.0,,UHE.PH.PR.035290-0.01,17971,HIDRO,20,SUL,41,Paraná,PR,199307.939,-50.39969312699998,-24.68145041099999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
314,5,Melissa,Copel Geração e Transmissão S.A.,Rio Melissa,998.0,-123638400000.0,CGH.PH.PR.001452-4.01,289,HIDRO,20,SUL,41,Paraná,PR,199307.939,-53.2041645209999,-24.53582793599998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
315,1512,Tibagi Montante,Tibagi Energia SPE S.A.,Rio Tibagi,36000.0,1570233600000.0,UHE.PH.PR.032923-1.01,10435,HIDRO,20,SUL,41,Paraná,PR,199307.939,-50.40638875599994,-24.53416661899993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
316,105,Apiaí,Cooperativa de Energia Elétrica e Desenvolvimento - SOMAR,Rio Catas Altas,1000.0,-599616000000.0,CGH.PH.SP.000116-3.01,290,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-49.06499595699991,-24.48338606999994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
317,224,Nova Jaguariaíva,Paraná Geração de Energia Ltda,Rio Jaguariaíva,1218.75,801273600000.0,CGH.PH.PR.001549-0.02,353,HIDRO,20,SUL,41,Paraná,PR,199307.939,-49.695021201,-24.28165599899999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
318,49,Velha,Jaguariaíva Energia SPE Ltda.,Rio Capivari,1000.01,1427846400000.0,CGH.PH.PR.033372-7.01,290,HIDRO,20,SUL,41,Paraná,PR,199307.939,-49.70305102099994,-24.25514795799997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
319,1738,Puma II, , ,134800.0,,UTE.FL.PR.045824-4.01,39072,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-50.74346944399998,-24.24428611199992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
320,1444,Klabin Celulose,Klabin S.A., ,330000.0,1469750400000.0,UTE.FL.PR.031098-0.01,95652,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-50.74138888699997,-24.24361111499994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
321,1579,Serraria,Companhia Brasileira de Alumínio,Rio Juquiá-Guaçu,24000.0,252460800000.0,UHE.PH.SP.002740-5.01,6957,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.54805599999995,-24.15194399999996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
322,1505,Caldeira 6 Kairós,Sengés Papel e Celulose Ltda., ,3200.0,1558483200000.0,UTE.FL.PR.044809-5.01,928,BIOMASSA,20,SUL,41,Paraná,PR,199307.939,-49.46914169399996,-24.11881669400001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
323,1680,Mourão I,ENEL GREEN POWER MOURAO S.A.,Rio Mourão,8200.0,-2209161600000.0,UHE.PH.PR.001509-1.01,2377,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.32750000000001,-24.10499999999998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
324,1678,Salto do Iporanga,Companhia Brasileira de Alumínio,Rio Açungui,36870.0,599616000000.0,UHE.PH.SP.002626-3.01,10687,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.71986873299998,-24.100402526,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
325,1648,Alecrim,Companhia Brasileira de Alumínio,Rio Juquiá-Guaçu,72000.0,126230400000.0,UHE.PH.SP.000047-7.01,20870,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.47732805199993,-24.08132335599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
326,1589,Governador Jayme Canet Júnior - GJC (Antiga Mauá),"Copel Geração e Transmissão S.A., Eletrosul Centrais Elétricas S.A.",Rio Tibagi,361000.0,1353628800000.0,UHE.PH.PR.029598-1.01,0,HIDRO,20,SUL,41,Paraná,PR,199307.939,-50.70715698999992,-24.06211584100001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
327,1558,Porto Raso,Companhia Brasileira de Alumínio,Rio Juquiá-Guaçu,28400.0,378691200000.0,UHE.PH.SP.002128-8.01,8232,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.41635410199995,-24.06183612999995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
328,1658,Barra,Companhia Brasileira de Alumínio,Rio Juquiá-Guaçu,40400.0,504921600000.0,UHE.PH.SP.000207-0.01,11710,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.35577271399995,-24.02318908099991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
329,1639,Fumaça,Companhia Brasileira de Alumínio,Rio Juquiá-Guaçu,36400.0,-189388800000.0,UHE.PH.SP.001000-6.01,10551,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.26445434299997,-24.00875027800001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
330,213,São José,CPFL Centrais Geradoras Ltda.,Ribeirão Turvinho,788.4,-1104624000000.0,CGH.PH.SP.026849-6.01,229,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.93895079099998,-24.00611353199998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
331,38,Turvinho,CPFL Centrais Geradoras Ltda.,Ribeirão Turvinho,800.0,-1798848000000.0,CGH.PH.SP.002896-7.01,232,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.95710265099997,-23.99970260999996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
332,284,Ouro Branco,Central Hidrelétrica Ouro Branco Ltda.,Rio Mourão,4000.0,1559692800000.0,CGH.PH.PR.034015-4.02,1159,HIDRO,20,SUL,41,Paraná,PR,199307.939,-52.23238902499993,-23.99530500599999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
333,177,Lavrinha,CPFL Centrais Geradoras Ltda.,Rio Turvo,332.5,-883699200000.0,CGH.PH.SP.001317-0.01,96,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.93997264799998,-23.98113718999996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
334,1652,Jurupará,Companhia Brasileira de Alumínio,Rio do Peixe,7200.0,-725846400000.0,UHE.PH.SP.001286-6.01,2087,HIDRO,19,SUDESTE,35,São Paulo,SP,248219.627,-47.39023199699998,-23.96258508999998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
