FID,FID_H2_REN,nome_usina,proprietario,RIO,potencia_instalada_kw,ano_inicio_operacao,codigo_ceg_aneel,potencial_h2_t_ano,fonte_energia,FID_LM_Est,NM_REGIAO,CD_GCUF,NM_UF,NM_UF_SIGL,AR_MUN_201,longitude,latitude,fonte_dado,origem
112,149,Osvaldo Dino Pigozzi,Zebu Agro Industrial Ltda.,Rio da Glória,400.0,63072000000.0,CGH.PH.RS.037327-3.01,116,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-52.699166667,-28.46138888899995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
113,857,Santo Antônio,Santo Antônio Energia Eólica S.A., ,3000.0,1310083200000.0,EOL.CV.SC.029053-0.01,870,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-49.59836683199994,-28.45514691699996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
114,1161,Nova Aurora,100% para ENGIE BRASIL ENERGIA S.A. (REG), ,4445.83,1364428800000.0,UFV.RS.SC.031430-7.01,1289,UFV,21,SUL,42,Santa Catarina,SC,95737.954,-48.97472207000001,-28.44777818999992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
115,674,Rio do Ouro,Rio de Ouro Energia Eólica S.A., ,30000.0,1310083200000.0,EOL.CV.SC.029055-6.01,8696,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-49.60757872799999,-28.44642611499995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
116,368,Bom Jardim,Bom Jardim Energia Eólica S.A., ,30000.0,1319241600000.0,EOL.CV.SC.029062-9.01,8696,EOL,21,SUL,42,Santa Catarina,SC,95737.954,-49.57030656099992,-28.44025771199993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
117,244,Rio Palmeiras I,Antônio Fornasa Administradora de Bens Ltda.,Rio Palmeiras,1500.0,1009843200000.0,CGH.PH.SC.028195-6.02,435,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.25265547799997,-28.41908876399997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
118,53,Rio Palmeiras II,Antônio Fornasa Administradora de Bens Ltda.,Rio Palmeiras,1250.0,1143676800000.0,CGH.PH.SC.029377-6.02,362,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.26698212699991,-28.41750423499997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
119,104,Invernadinha,Rondinha Geradora de Energia Ltda.,Rio Invernadinha,2430.0,1341100800000.0,CGH.PH.SC.030261-9.02,704,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.91318137999993,-28.40730761499997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
120,35,Andorinhas,CPFL Sul Centrais Elétricas Ltda.,Rio Poritibu,512.0,-1041379200000.0,CGH.PH.RS.000702-1.01,148,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.80990862799992,-28.40460125399996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
121,68,Caxambu,Fockink Participações Ltda.,Rio Caxambu,975.0,1415404800000.0,CGH.PH.RS.002317-5.01,283,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.45851376599999,-28.39725460299996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
